id,title,popularity,release_date
257,Oliver Twist,2.04E+01,9/23/2005
14290,Better Luck Tomorrow,3.88E+00,1/12/2002
38365,Grown Ups,3.89E+01,6/24/2010
9672,Infamous,3.68E+00,11/16/2006
12819,Alpha and Omega,1.23E+01,9/17/2010
49529,John Carter,4.39E+01,3/7/2012
75638,Red Lights,2.28E+01,3/2/2012
13785,Best in Show,1.10E+01,9/19/2000
20024,The End of the Affair,6.92E+00,12/3/1999
18841,The Lost Skeleton of Cadavra,1.68E+00,9/12/2001
76757,Jupiter Ascending,8.54E+01,2/4/2015
158752,Escape from Tomorrow,1.35E+00,10/11/2013
10956,Joe Dirt,1.60E+01,4/10/2001
2757,Adaptation.,2.64E+01,12/6/2002
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,3.99E+01,6/1/2016
16186,Diary of a Mad Black Woman,3.79E+00,2/25/2005
2610,Shopgirl,4.82E+00,10/21/2005
13074,Resurrecting the Champ,4.90E+00,6/14/2007
26672,The Thief and the Cobbler,2.44E+00,9/23/1993
21334,Children of Heaven,7.07E+00,8/1/1997
15301,Twilight Zone: The Movie,1.29E+01,6/24/1983
59,A History of Violence,3.46E+01,9/23/2005
10586,The Ghost and the Darkness,1.25E+01,10/11/1996
55180,The Last Big Thing,6.79E-01,9/23/1998
157058,30 Nights of Paranormal Activity With the Devi...,1.74E+00,1/14/2013
24100,The Little Vampire,4.37E+00,10/27/2000
9793,The Hills Have Eyes 2,1.71E+01,3/22/2007
10735,What a Girl Wants,7.06E+00,3/27/2003
9353,Nacho Libre,1.46E+01,6/16/2006
8452,The 6th Day,1.85E+01,11/17/2000
19995,Avatar,1.50E+02,12/10/2009
85350,Boyhood,4.34E+01,6/5/2014
27205,Inception,1.68E+02,7/14/2010
9437,Kiss the Girls,1.89E+01,10/3/1997
244339,Out of Inferno,1.58E+00,3/10/2013
112937,The Oogieloves in the Big Balloon Adventure,2.86E-01,8/29/2012
10280,Thinner,7.87E+00,10/25/1996
8970,The Out-of-Towners,4.84E+00,4/2/1999
72359,Peeples,5.11E+00,5/9/2013
11022,Narc,8.53E+00,1/14/2002
18923,A Home at the End of the World,5.48E+00,7/23/2004
