Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
Jet Airways,9/6/2019,Delhi,Cochin,DEL → LKO → BOM → COK,9:25,6/10/2025 4:25,2 stops,No info,13882,19
IndiGo,12/5/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,1 stop,No info,6218,5.417
IndiGo,1/3/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,1 stop,No info,13302,4.75
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,non-stop,No info,3873,2.417
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,3/13/2025 10:25,1 stop,In-flight meal not included,11087,15.5
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,3/2/2025 5:05,1 stop,No info,22270,21.083
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,3/13/2025 10:25,1 stop,In-flight meal not included,11087,25.5
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,1 stop,No info,8625,7.833
Air India,1/6/2019,Delhi,Cochin,DEL → BLR → COK,9:45,23:00,1 stop,No info,8907,13.25
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,non-stop,No info,4174,2.583
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,4667,2.25
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,5/10/2025 9:20,1 stop,In-flight meal not included,9663,12.167
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,non-stop,No info,4804,2.583
Air India,3/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,3/4/2025 19:15,2 stops,No info,14011,26.583
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,1 stop,No info,5830,4.5
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,6/13/2025 12:35,1 stop,In-flight meal not included,10262,22.583
Air India,12/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,6/13/2025 19:15,2 stops,No info,13381,23
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5/28/2025 12:35,1 stop,In-flight meal not included,12898,20.583
GoAir,6/3/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,1 stop,NaN,19495,5.167
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,3/19/2025 13:20,1 stop,No info,6955,15.333
IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,3943,2.833
IndiGo,1/5/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,non-stop,No info,4823,2.917
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,5/7/2025 8:15,1 stop,In-flight meal not included,7757,13.333
Jet Airways,9/6/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,6/10/2025 12:35,2 stops,No info,13292,15.167
IndiGo,1/6/2019,Delhi,Cochin,DEL → LKO → COK,21:50,6/2/2025 3:35,1 stop,No info,8238,5.75
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,1 stop,No info,7682,5.917
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,9:45,12:35,non-stop,No info,4668,2.833
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,non-stop,No info,3687,2.25
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,non-stop,No info,3687,2.25
Air India,1/5/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,9:50,23:15,2 stops,No info,13227,13.417
IndiGo,6/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,4423,2.833
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,6/16/2025 12:35,2 stops,In-flight meal not included,10919,22
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,7:05,12:35,1 stop,In-flight meal not included,12373,5.5
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,1 stop,No info,5894,10.417
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,1 stop,No info,4649,5.25
NaN,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,6245,2.5
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,13:15,1 stop,No info,19225,6.25
Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,1 stop,No info,14924,11.917
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,7:05,18:10,1 stop,NaN,9646,11.083
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,6:45,15:15,1 stop,No info,8714,8.5
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,5/19/2025 19:00,1 stop,In-flight meal not included,12373,22.083
Air Asia,NaN,Banglore,Delhi,BLR → DEL,11:10,13:55,non-stop,No info,3383,2.75
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,9:00,21:00,1 stop,No info,13062,12
SpiceJet,24/03/2019,Banglore,NaN,BLR → DEL,5:45,8:35,non-stop,No check-in baggage included,3527,2.833
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,3943,2.833
Air India,3/5/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,4667,2.25
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,5/16/2025 11:05,1 stop,No info,6117,16.083
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,6/28/2025 19:00,2 stops,In-flight meal not included,11150,19.917
Jet Airways,9/3/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,In-flight meal not included,7202,3.25
Jet Airways,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,5/2/2025 10:55,1 stop,No info,12121,25.333
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,3/28/2025 1:10,non-stop,No info,4377,2.833
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,6/19/2025 0:15,non-stop,No info,3943,3
Air Asia,3/4/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,non-stop,No info,4483,2.833
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,3/25/2025 12:00,1 stop,No info,14231,16.25
Air India,1/3/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,23:55,2 stops,No info,17345,15.083
Vistara,6/3/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,non-stop,No info,7414,2.25
Multiple carriers,6/5/2019,Delhi,Cochin,DEL → BOM → COK,19:00,5/7/2025 1:30,1 stop,No info,8073,6.5
Vistara,6/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,3/7/2025 16:45,1 stop,No info,12395,25.083
Air India,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,NaN,21:50,1 stop,NaN,8366,12.417
Air India,3/4/2019,Delhi,Cochin,DEL → MAA → COK,6:05,09:25 04 Apr,1 stop,No info,5117,27.333
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,8:45,19:00,1 stop,No info,NaN,10.25
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,5/16/2025 1:30,1 stop,No info,7191,10.5
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,non-stop,No info,3687,2.25
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,1 stop,No info,5894,10.417
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,9:45,12:35,non-stop,No info,5403,2.833
Air India,6/5/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,non-stop,No info,3625,1.5
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,19:15,2 stops,No info,10861,13.333
IndiGo,12/3/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,NaN,No info,6297,2.25
Jet Airways,1/6/2019,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,non-stop,No info,5678,1.417
Jet Airways,9/3/2019,Banglore,New Delhi,BLR → BOM → DEL,5:45,3/13/2025 8:15,1 stop,In-flight meal not included,9134,26.5
Multiple carriers,24/06/2019,Delhi,Cochin,NaN,11:40,19:00,1 stop,In-flight meal not included,10791,7.333
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,6/25/2025 12:35,2 stops,No info,12819,13.5
NaN,21/03/2019,Delhi,Cochin,DEL → BLR → COK,5:05,10:05,1 stop,No info,6893,5
Vistara,9/3/2019,Banglore,New Delhi,BLR → DEL,9:50,12:35,non-stop,No info,7240,2.75
NaN,3/4/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,non-stop,No info,3898,2.833
IndiGo,3/4/2019,Mumbai,Hyderabad,BOM → HYD,6:25,7:55,non-stop,No info,4049,1.5
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,6/16/2025 12:35,1 stop,In-flight meal not included,NaN,19.083
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,8:20,10:35,non-stop,No check-in baggage included,3332,2.25
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,6/10/2025 12:00,1 stop,NaN,10844,14.833
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,non-stop,No info,7229,2.667
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,5/7/2025 4:40,1 stop,No info,13941,22.167
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,1 stop,No info,5894,9.583
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,9:00,19:00,1 stop,No info,10197,10
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,3/7/2025 11:25,1 stop,In-flight meal not included,13712,21.333
