Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_USD,Job_Category,date_of_response
2020,Machine Learning Scientist,SE,FT,2.07E+07,JP,JP,S,0,248256.84,Machine Learning,1/7/2020
2020,Big Data Engineer,SE,FT,8.68E+06,GB,GB,M,50,104099.82,Data Engineering,9/19/2020
2020,Product Data Analyst,MI,FT,1.59E+06,HN,HN,S,0,19096.68,Data Analytics,11/21/2020
2020,Machine Learning Engineer,SE,FT,1.19E+07,US,US,L,50,143225.1,Machine Learning,11/29/2020
2020,Data Analyst,EN,FT,5.73E+06,US,US,L,100,68748.048,Data Analytics,9/7/2020
2020,Lead Data Scientist,SE,FT,1.51E+07,US,US,S,100,181418.46,Data Science,8/4/2020
2020,Data Scientist,MI,FT,2.84E+06,HU,HU,L,50,34120.992,Data Science,5/27/2020
2020,Business Data Analyst,MI,FT,1.07E+07,US,US,L,100,128902.596,Data Analytics,10/13/2020
2020,Lead Data Engineer,SE,FT,9.95E+06,NZ,NZ,S,50,119354.256,Data Engineering,5/23/2020
2020,Data Scientist,MI,FT,3.22E+06,IN,IN,L,0,38652.636,Data Science,10/15/2020
2020,Data Scientist,EN,FT,3.18E+06,FR,FR,M,0,38113.152,Data Science,11/7/2020
2020,Lead Data Analyst,MI,FT,6.92E+06,US,US,L,100,83070.564,Data Analytics,8/15/2020
2020,Data Analyst,MI,FT,6.76E+06,US,US,L,100,81160.896,Data Analytics,3/16/2020
2020,Data Engineer,EN,FT,3.32E+06,JP,JP,S,100,39806.076,Data Engineering,10/8/2020
2020,Big Data Engineer,SE,FT,9.08E+06,PL,GB,S,100,108895.956,Data Engineering,5/2/2020
2020,BI Data Analyst,MI,FT,7.80E+06,US,US,M,0,93573.732,Data Analytics,5/24/2020
2020,Lead Data Scientist,MI,FT,9.15E+06,AE,AE,L,0,109805.916,Data Science,4/19/2020
2020,Data Engineer,SE,FT,2.67E+06,MX,MX,S,0,31997.448,Data Engineering,5/11/2020
2020,Business Data Analyst,EN,CT,7.96E+06,US,US,L,100,95483.4,Data Analytics,9/25/2020
2020,Machine Learning Manager,SE,FT,9.32E+06,CA,CA,L,50,111814.884,Machine Learning,4/26/2020
2020,Big Data Engineer,EN,FT,5.57E+06,US,US,L,100,66838.38,Data Engineering,8/20/2020
2020,Data Scientist,SE,FT,5.45E+06,GR,US,L,100,65337.384,Data Science,7/10/2020
2020,Research Scientist,MI,FT,3.58E+07,US,US,M,0,429675.3,Other,11/15/2020
