state,county,dem_percent_12,dem_percent_16
Alabama,Bullock,76.306,74.947
Alabama,Chilton,19.454,15.847
Alabama,Clay,26.674,18.675
Alabama,Cullman,14.662,10.028
Alabama,Escambia,36.916,31.021
Alabama,Fayette,22.867,16.511
Alabama,Franklin,29.202,18.248
Alabama,Hale,62.606,59.391
Alabama,Lamar,22.97,14.872
Alabama,Lauderdale,33.883,25.179
Alabama,Monroe,45.891,42.177
Alabama,Pike,42.78,38.396
Alabama,Shelby,21.675,22.692
Alabama,Walker,22.99,15.259
Arizona,Graham,30.443,16.256
Arkansas,Baxter,26.744,21.092
Arkansas,Benton,28.56,28.924
Arkansas,Bradley,39.677,36.053
Arkansas,Craighead,33.208,29.624
Arkansas,Dallas,43.353,42.043
Arkansas,Desha,55.271,52.337
Arkansas,Faulkner,32.853,30.78
Arkansas,Howard,32.967,28.905
Arkansas,Logan,27.404,21.651
Arkansas,Marion,28.89,20.177
Arkansas,Newton,27.124,18.625
California,Alameda,78.853,78.69
California,Calaveras,39.796,34.336
California,Humboldt,59.956,56.038
California,Mariposa,38.867,35.17
California,Merced,53.185,52.716
California,Modoc,27.873,23.152
California,Mono,52.75,52.559
California,Napa,62.965,63.871
California,Placer,39.001,40.204
California,Riverside,49.714,49.734
California,Santa Barbara,57.635,60.605
California,Santa Clara,70.102,72.712
California,Stanislaus,50.025,47.429
California,Tulare,41.298,42.36
Colorado,Alamosa,56.754,45.958
Colorado,Arapahoe,53.904,52.759
Colorado,Cheyenne,15.737,11.978
Colorado,Elbert,25.413,19.614
Colorado,Las Animas,50.204,39.011
Colorado,Moffat,21.563,13.395
Colorado,Morgan,36.3,26.346
Colorado,Park,41.234,32.841
Colorado,Phillips,25.96,18.696
Colorado,Rio Blanco,16.86,12.638
Connecticut,Hartford,62.37,59.087
Connecticut,New Haven,60.653,54.25
Florida,Broward,67.2,66.509
Florida,Calhoun,27.048,20.408
Florida,Desoto,42.311,34.951
Florida,Flagler,45.868,38.304
Florida,Franklin,33.705,28.994
Florida,Hardee,34.085,28.34
Florida,Highlands,38.045,32.695
Florida,Lake,40.978,36.863
Florida,Madison,47.917,41.458
Florida,Orange,58.681,60.39
Florida,St. Johns,30.655,31.571
Florida,Walton,23.412,20.442
Georgia,Bacon,20.122,15.124
Georgia,Clinch,34.466,27.943
Georgia,Columbia,27.919,29.172
Georgia,Coweta,27.303,26.857
Georgia,Dawson,12.114,12.308
Georgia,Dougherty,69.345,68.387
Georgia,Fannin,20.246,16.28
Georgia,Franklin,19.312,14.62
Georgia,Houston,39.104,37.539
Georgia,Jenkins,43.894,36.747
Georgia,Lumpkin,18.845,17.867
Georgia,McDuffie,42.16,39.912
Georgia,Mitchell,49.317,44.327
Georgia,Paulding,27.57,27.778
Georgia,Pierce,16.418,12.351
Georgia,Talbot,64.881,61.676
Georgia,Telfair,41.628,34.589
Georgia,Toombs,29.388,25.585
Georgia,Twiggs,54.022,48.559
Georgia,Ware,32.666,28.234
Georgia,Webster,49.031,42.384
Georgia,Wheeler,35.741,30.733
Hawaii,Honolulu,68.864,61.477
Hawaii,Maui,74.1,64.453
Idaho,Bingham,21.712,17.588
Idaho,Bonneville,22.917,20.194
Idaho,Camas,27.509,18.644
Idaho,Canyon,30.059,23.196
Idaho,Custer,22.534,17.688
Idaho,Franklin,5.804,7.001
Idaho,Fremont,13.961,11.391
Idaho,Gooding,25.147,17.916
Idaho,Lemhi,23.358,17.896
Illinois,DeKalb,51.609,46.94
Illinois,Franklin,40.493,25.263
Illinois,Grundy,44.488,34.708
Illinois,Kankakee,47.452,40.104
Illinois,McHenry,44.677,42.895
Illinois,Marshall,41.966,29.896
Illinois,Menard,34.141,27.889
Illinois,Moultrie,35.397,23.572
Illinois,Ogle,40.716,33.274
Illinois,Randolph,40.015,24.229
Illinois,Rock Island,60.227,50.47
Illinois,Wayne,19.714,12.686
Illinois,Whiteside,57.819,43.136
Illinois,Woodford,29.522,25.634
Indiana,Clark,44.133,36.772
Indiana,Hamilton,32,37.122
Indiana,Huntington,29.153,21.854
Indiana,LaGrange,31.108,21.744
Indiana,Newton,39.123,24.228
Indiana,Ohio,35.261,23.485
Indiana,Putnam,32.591,22.807
Indiana,Randolph,36.991,23.389
Indiana,Shelby,31.975,23.602
Indiana,Starke,43.512,26.978
Indiana,Vermillion,45.267,29.99
Iowa,Adair,44.795,29.73
Iowa,Appanoose,47.254,29.563
Iowa,Benton,48.934,33.791
Iowa,Butler,44.122,28.71
Iowa,Chickasaw,54.812,35.214
Iowa,Clinton,60.564,43.764
Iowa,Crawford,45.409,28.709
Iowa,Guthrie,43.631,30.122
Iowa,Harrison,42.83,28.547
Iowa,Howard,59.591,36.784
Iowa,Iowa,46.74,34.636
Iowa,Jackson,57.674,37.216
Iowa,Lee,56.655,38.481
Iowa,Muscatine,57,43.059
Iowa,Page,36.912,25.653
Iowa,Pocahontas,37.773,24.916
Iowa,Story,55.55,50.741
Kansas,Anderson,28.477,20.06
Kansas,Atchison,38.463,30.251
Kansas,Brown,26.947,21.383
Kansas,Clay,22.626,17.723
Kansas,Decatur,17.363,12.259
Kansas,Edwards,21.516,16.073
Kansas,Ellis,26.097,22.951
Kansas,Ford,31.093,27.844
Kansas,Franklin,33.612,26.375
Kansas,Hamilton,18.586,13.813
Kansas,Lincoln,19.488,14.686
Kansas,Miami,31.718,26.568
Kansas,Neosho,31.636,23.773
Kansas,Phillips,14.893,11.261
Kansas,Rawlins,13.158,11.073
Kansas,Reno,33.105,28.24
Kansas,Stanton,18.841,18.053
Kansas,Wyandotte,67.606,61.799
Kentucky,Anderson,32.122,23.061
Kentucky,Barren,32.593,23.123
Kentucky,Bell,23.455,17.699
Kentucky,Boyle,36.135,33.068
Kentucky,Bracken,35.489,19.989
Kentucky,Caldwell,31.604,21.088
Kentucky,Cumberland,20.988,14.971
Kentucky,Fayette,49.322,51.189
Kentucky,Fleming,33.051,21.534
Kentucky,Greenup,39.735,25.472
Kentucky,Knott,24.943,21.603
Kentucky,Madison,34.548,31.557
Kentucky,Mercer,29.842,22.626
Kentucky,Muhlenberg,37.452,25.054
Kentucky,Oldham,30.92,31.254
