acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.972,['David Bauer'],0.567,3.13E+05,5.222,2.27E-01,0,0w0D8H1ubRerCXHWYJkinO,6.01E-01,10,0.11,-13.441,1,Shout to the Lord,47,2000,0.029,136.123,3.96E-02,2000
0.988,"['The Cathedral Singers', 'Lorelei McDermott', 'Stephen Hartman']",0.233,2.49E+05,4.143,1.22E-01,0,4IyK8htJJzbRjPihpMouWu,3.54E-03,10,0.092,-19.528,1,"Ave Maria, Op. 52 No. 6, D. 839 (Arr. for Soprano, Harp & Chorus)",52,1/1/2000,0.033,90.593,9.91E-02,2000
0.958,"['Cliff Edwards', 'Disney Studio Chorus']",0.181,1.95E+05,3.252,2.70E-01,0,0JIPxQiFYgnPfQDuAZTnHk,2.03E-02,9,0.352,-13.616,1,"When You Wish Upon a Star - From ""Pinocchio""/Soundtrack Version",44,1/1/2001,0.035,92.843,1.14E-01,2001
0.971,['John Williams'],0.153,2.26E+05,3.772,9.05E-03,0,0pyKuk3bYFSzPIysym8ioN,6.07E-01,0,0.107,-30.099,1,Hogwarts Forever! and the Moving Stairs,48,10/30/2001,0.037,164.191,7.30E-02,2001
0.99,['Yiruma'],0.282,2.77E+05,4.619,1.52E-01,0,5DLA620cB8o3YIXujemlay,9.05E-01,2,0.068,-20.094,1,Passing By,49,11/27/2001,0.035,84.109,5.10E-02,2001
0.964,['John Williams'],0.106,2.26E+05,3.761,1.81E-01,0,1m4ZjbibTvvmYIJyXAIuxv,8.53E-01,2,0.407,-17.969,1,Fawkes the Phoenix,48,11/11/2002,0.034,61.02,5.93E-02,2002
0.988,"['Valentin Silvestrov', 'Anja Lechner', 'Silke Avenhaus']",0.116,2.56E+05,4.266,1.10E-03,0,2ZrF3UfwS50CKE8jQQVjWj,2.27E-01,2,0.099,-39.982,1,Three Postludes (1981/82): Postlude No. 3,47,2/19/2002,0.054,70.332,3.87E-02,2002
0.963,['Fernando Ortega'],0.438,3.05E+05,5.085,3.56E-02,0,2G2b5w0IiHWmvS68wlJHuZ,2.45E-06,1,0.115,-21.149,1,Jesus Paid It All,44,2/5/2002,0.034,70.994,3.92E-01,2002
0.982,['Stan Whitmire'],0.435,2.18E+05,3.635,2.91E-01,0,03o0bsrdp7yimIo8I2tzAZ,8.58E-01,3,0.133,-18.262,1,When You Say Nothing At All,49,1/1/2003,0.043,159.705,2.85E-01,2003
0.995,['Aaron Zigman'],0.445,1.70E+05,2.824,1.23E-02,0,06xNkl12TrxwGYrwTGlUUd,9.25E-01,0,0.169,-25.606,1,Main Title,48,6/8/2004,0.045,58.875,2.32E-01,2004
0.975,['John Williams'],0.225,9.84E+04,1.64,4.17E-02,0,2G5hAbyjLoY1wSQFbOy5PN,3.96E-01,4,0.072,-30.105,0,Lumos! (Hedwig's Theme),50,5/25/2004,0.043,133.89,8.89E-02,2004
0.984,['Sufjan Stevens'],0.632,2.54E+05,4.234,2.25E-01,0,5OojmQ36TXkfL2JfoFJcaq,7.40E-01,4,0.112,-13.423,1,All the Trees of the Field Will Clap Their Hands,46,3/16/2004,0.03,144.641,6.83E-01,2004
0.981,['Jason Hayes'],0.229,1.85E+05,3.08,1.38E-01,0,1YYTAOi1YMxmGclyO1HH6O,9.19E-01,3,0.119,-18.358,0,Elwynn Forest,48,11/23/2004,0.036,66.618,6.62E-02,2004
0.967,"['Ilene Woods', ""Cinderella's Mice Chorus""]",0.279,1.99E+05,3.316,1.45E-01,0,33e8JtboPPzbzCsCqfPnr9,3.25E-05,3,0.13,-16.984,1,"A Dream Is a Wish Your Heart Makes - From ""Cinderella""/Soundtrack Version",43,1/1/2004,0.064,181.296,3.02E-01,2004
0.979,['Nine Inch Nails'],0.458,3.05E+05,5.081,3.62E-01,0,586rOcAzOHkpJTA4POqO2c,4.94E-01,5,0.119,-10.043,1,Right Where It Belongs,44,1/1/2005,0.03,139.879,2.23E-01,2005
0.992,"['Frédéric Chopin', 'Maurizio Pollini']",0.261,2.87E+05,4.783,1.49E-02,0,2d6ml9Qkx8r4EjuUyrdpRV,8.97E-01,1,0.102,-27.528,1,"Nocturne No.1 In B Flat Minor, Op.9 No.1",53,1/1/2005,0.042,75.296,3.82E-02,2005
0.979,['Jim Brickman'],0.487,1.50E+05,2.496,1.13E-01,0,2Mqrf0BFCP1M6xav09L86c,8.92E-01,0,0.078,-18.967,1,When You Wish Upon a Star,47,1/1/2005,0.056,66.475,2.33E-01,2005
0.989,"['Frédéric Chopin', 'Gabriela Montero']",0.359,3.38E+05,5.638,3.23E-02,0,4hbvrHgfZ8lqFrPx1Ztd6j,9.10E-01,1,0.094,-24.408,1,"Chopin: Nocturne No. 8 in D-Flat Major, Op. 27 No. 2",53,9/5/2005,0.038,107.169,7.28E-02,2005
0.994,"['Franz Schubert', 'Renée Fleming', 'Royal Philharmonic Orchestra', 'Andreas Delfs']",0.12,2.57E+05,4.276,1.38E-01,0,4JsMpgsep6XpuHSzKCTxCz,6.86E-01,10,0.11,-15.538,1,"Ave Maria, D. 839",44,1/1/2005,0.048,67.891,4.30E-02,2005
0.988,['Brian Crain'],0.361,2.23E+05,3.722,1.85E-01,0,1tUeaAwcZK4S1CUDtDwJDc,8.99E-01,5,0.21,-14.602,1,Butterfly Waltz,49,1/1/2006,0.036,129.439,4.01E-01,2006
0.993,['Ashana'],0.141,5.36E+05,8.936,7.26E-03,0,3JQaDnn7sdtInlniHQAIWV,5.81E-01,4,0.101,-16.518,0,The Embrace,52,1/1/2006,0.047,70.586,3.68E-02,2006
0.958,['TOOL'],0.307,7.11E+04,1.184,4.80E-02,0,7dP42zpNCIsEHlnRLZGo0i,6.07E-06,8,0.09,-25.331,0,Lipan Conjuring,49,4/28/2006,0.075,74.329,1.84E-01,2006
0.958,['Deuter'],0.198,5.72E+05,9.536,1.92E-02,0,4O20FRyWVCr4t6bl3Xxvsj,9.41E-01,7,0.065,-27.444,0,Sound of Invisible Waters,53,2/13/2007,0.036,104.989,3.65E-02,2007
0.961,['Bedtime Baby'],0.353,1.07E+05,1.789,2.17E-01,0,3W7xIbNEaW8G671ab3wis0,9.51E-01,2,0.112,-18.498,1,Canon In D,51,12/1/2009,0.047,103.238,1.54E-01,2009
0.974,['The Antlers'],0.324,3.11E+05,5.187,1.63E-01,0,453spNn4mGdYErYt3rGhSX,8.44E-01,9,0.089,-13.909,0,Kettering,53,6/23/2009,0.042,139.814,8.52E-02,2009
0.982,['Rockabye Baby!'],0.447,2.74E+05,4.571,2.99E-02,0,2OWOkkAQv7KFlScZymrfZ4,8.41E-01,0,0.074,-25.007,0,Bohemian Rhapsody,50,5/19/2009,0.037,70.893,1.86E-01,2009
0.952,['Scripture Lullabies'],0.171,2.51E+05,4.184,1.15E-01,0,3bOrCXvrwO6CFOVXUUFDCG,8.81E-04,10,0.115,-15.338,1,Be Still and Know,47,11/21/2009,0.033,70.935,1.34E-01,2009
0.979,['Nicholas Hooper'],0.483,1.58E+05,2.636,5.89E-02,0,2eajPmnVrhSsGy1DTqW5wg,9.56E-01,4,0.037,-28.255,0,When Ginny Kissed Harry,54,7/14/2009,0.039,84.038,7.83E-02,2009
0.996,"['Johann Sebastian Bach', 'Lang Lang']",0.5,3.27E+05,5.451,1.04E-02,0,4ksxLnn1ymLGRKnwhba45Y,9.49E-01,2,0.057,-26.764,1,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",58,11/29/2010,0.062,114.76,1.33E-01,2010
0.995,['Edward Newton'],0.399,1.35E+05,2.254,4.02E-03,0,6EZMZ5LIMiZZeSFcxU97xT,9.55E-01,1,0.103,-37.809,1,I'm in the Mood for Love: I'm in the Mood for Love,53,11/23/2010,0.04,67.194,1.49E-01,2010
0.965,['Iron & Wine'],0.245,2.67E+05,4.452,2.42E-01,0,6iw32k0OUKHildYsQTRnVB,8.33E-03,4,0.271,-12.963,1,"Flightless Bird, American Mouth - Wedding Version",46,11/4/2011,0.032,135.714,1.38E-01,2011
0.979,['Miracle Musical'],0.339,1.01E+05,1.683,2.30E-01,0,7qLs0IyUn6TrqgMzQ33SdH,9.51E-04,0,0.353,-10.803,1,Introduction to the Snow,51,2012,0.032,66.352,1.13E-01,2012
0.991,"['Frédéric Chopin', 'Khatia Buniatishvili']",0.314,2.00E+05,3.33,1.57E-02,0,1lOVilzLQuYY2fnFrQ76DK,9.16E-01,1,0.134,-36.252,0,"Waltz in C-Sharp Minor, Op. 64 No. 2",58,9/14/2012,0.036,95.89,9.39E-02,2012
0.987,['Luke Howard'],0.301,3.68E+05,6.128,8.90E-03,0,3oRuCzqdduzZ2CBhAtv8zO,9.07E-01,1,0.101,-30.804,1,Portrait Gallery,56,5/6/2013,0.037,127.536,8.97E-02,2013
