acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
4.02E-04,"['Lil Wayne', 'Drake']",0.364,305840,5.097,0.841,1,5eEj1vkMIqtmvaTk7cS4UC,0.00E+00,8,0.242,-4.831,1,She Will,51,1/1/2011,0.119,100.14,0.084,2011
3.10E-01,['blackbear'],0.758,180000,3,0.427,1,0Cyui3k9S61bue3uMkBD9S,0.00E+00,10,0.115,-9.835,0,Girls Like U,56,6/17/2016,0.113,139.911,0.489,2016
9.84E-04,['Lacuna Coil'],0.503,245573,4.093,0.667,0,71KtwiEpzcn9WxwlaS7ZJY,2.70E-02,11,0.229,-6.831,0,Enjoy the Silence - cover version,55,2006,0.029,113.018,0.101,2006
3.34E-01,['The Beach Boys'],0.414,215827,3.597,0.424,0,7tf64lNC31lWlTsih0nfZf,4.95E-06,10,0.131,-9.497,1,Good Vibrations,46,1/1/2012,0.04,132.43,0.325,2012
1.70E-03,['In This Moment'],0.426,197627,3.294,0.975,0,4Mpm64J9yqluKaOssgVQ9P,0.00E+00,0,0.089,-1.892,1,Call Me,50,4/10/2009,0.095,142.998,0.273,2009
8.66E-01,['Anna Kendrick'],0.397,48480,0.808,0.218,0,75e1EYhLzB3mQZQBcRmklN,2.55E-05,9,0.082,-10.47,1,The Sound Of Silence,57,9/23/2016,0.04,209.793,0.567,2016
6.89E-03,"['Boosie Badazz', 'Webbie', 'Bun B']",0.675,267520,4.459,0.781,1,2s9NvnrAU9WahyWRa0Ou9m,0.00E+00,8,0.319,-6.035,1,Give Me That,44,5/17/2005,0.28,78.009,0.536,2005
9.56E-02,['Jake Owen'],0.672,172507,2.875,0.934,0,32C5of1pAeU7IeEbGiLWAo,0.00E+00,7,0.109,-3.322,1,Yee Haw,49,7/1/2006,0.033,129.123,0.948,2006
6.50E-01,"['Peter, Paul and Mary']",0.581,208560,3.476,0.143,0,7raciFPVU5VuHmqVbw2c1h,0.00E+00,9,0.104,-16.273,1,"Puff, the Magic Dragon - 2004 Remaster",52,8/23/2005,0.04,144.605,0.469,2005
1.74E-02,['Jinjer'],0.6,305571,5.093,0.849,0,1XT5VDdxwI2Bx01MxURMcz,2.05E-03,9,0.074,-5.788,0,Pisces,50,7/29/2016,0.038,140.002,0.257,2016
1.18E-02,['Frank Ocean'],0.4,592920,9.882,0.65,1,4QhWbupniDd44EDtnh2bFJ,7.62E-05,5,0.791,-6.104,0,Pyramids,64,7/10/2012,0.047,107.989,0.15,2012
2.53E-02,['Mumford & Sons'],0.359,221040,3.684,0.621,0,1KDPWUuA213r6M2WbWUauE,5.86E-02,11,0.223,-7.482,0,Believe,59,5/4/2015,0.044,113.699,0.422,2015
2.76E-02,"['Justin Bieber', 'Travis Scott']",0.796,202720,3.379,0.777,0,1PnAx788sAvcI3ZxTlEyX8,2.87E-05,11,0.095,-6.112,0,Second Emotion (feat. Travis Scott),69,2/14/2020,0.057,141.97,0.96,2020
1.76E-01,"['Jeezy', 'Z-Ro', 'Lil CArchie Lee']",0.768,453987,7.566,0.575,1,5w2liyrUoMsT0IfYZhFAq7,0.00E+00,6,0.294,-9.3,0,Ready For War,50,12/12/2006,0.411,89.989,0.708,2006
3.22E-04,['From Autumn To Ashes'],0.444,171267,2.854,0.971,1,3gBo8grQ7vtZGARZO43MeU,0.00E+00,4,0.053,-2.238,0,The After Dinner Payback,44,7/6/2004,0.146,89.706,0.542,2004
8.52E-01,['Dave Matthews'],0.587,217733,3.629,0.237,0,77tdraaU0kGmwqEzBGVhhN,2.18E-02,5,0.113,-15.037,1,"Waste (Dave Matthews, solo)",44,1/1/2001,0.043,88.377,0.491,2001
4.28E-01,"['Sergio Vega ""El Shaka""']",0.838,251507,4.192,0.725,0,1J8WH97XXerjrLqOTgoeAx,0.00E+00,10,0.158,1.073,1,"Musico, Poeta y Loco",48,8/24/2004,0.036,107.937,0.947,2004
2.60E-02,['The Amity Affliction'],0.498,211520,3.525,0.904,1,4vVzmaBsxXuKrJeMSLRF4y,4.98E-06,6,0.069,-6.351,1,Drag the Lake,61,8/24/2018,0.046,133.973,0.343,2018
8.09E-03,['Westlife'],0.645,186440,3.107,0.921,0,2sFp6E7lNBbblJGmUtCfFH,1.08E-05,6,0.407,-5.256,0,Uptown Girl - Radio Edit,68,2000,0.03,129,0.864,2000
5.25E-02,['Darryl Worley'],0.524,327093,5.452,0.739,0,0IloOLqyP3llm5F4c4LmX7,1.01E-04,7,0.063,-6.203,1,I Just Came Back (From A War),40,2006,0.03,98.034,0.27,2006
4.38E-01,['La Leyenda'],0.682,248667,4.144,0.545,0,5xNqXLwdG5m5RrJfFkigVW,3.37E-06,10,0.094,-7.671,1,Hay Algo en ti,51,11/12/2004,0.04,78.092,0.819,2004
1.09E-01,['Dirty Projectors'],0.569,314320,5.239,0.542,0,08LAyogtI90hvNsyr1Hsdm,4.38E-06,0,0.204,-5.784,1,Stillness Is The Move,41,6/9/2009,0.134,76.309,0.53,2009
7.79E-01,['Helios'],0.181,287521,4.792,0.245,0,4YEKwC3ipNg9LdR02OL8h2,8.99E-01,1,0.068,-12.333,1,Nothing It Can,54,5/20/2014,0.039,109.007,0.037,2014
7.50E-02,['Lady Gaga'],0.518,307347,5.122,0.709,0,6rkAY9rk1NTFB94QxG3LJR,0.00E+00,2,0.093,-5.234,1,You And I,61,1/1/2011,0.048,127.083,0.514,2011
1.50E-02,['Halsey'],0.461,260797,4.347,0.696,0,1r1WtSrPbAOYHE7zwq4eqK,4.91E-04,9,0.21,-5.752,0,Haunting,59,8/28/2015,0.049,180.006,0.311,2015
3.81E-02,['Project Pat'],0.746,178493,2.975,0.693,1,0kCZ2X6kIXZ5zRMrPx8Usx,8.59E-04,7,0.231,-6.742,1,Choose U,36,7/16/2002,0.041,155.696,0.573,2002
2.00E-01,['Control'],0.818,194827,3.247,0.774,0,10jdyLaybUVbi8AlJf7nYF,1.15E-04,8,0.185,-7.895,1,Cumbia Del Sol,48,1/1/2001,0.043,103.495,0.784,2001
9.85E-02,['The Pussycat Dolls'],0.613,252093,4.202,0.778,0,2H9CKpZiLDF223BbwehpDF,0.00E+00,10,0.356,-3.933,0,Hush Hush; Hush Hush - Main,60,1/1/2009,0.069,129.483,0.626,2009
3.35E-01,['Eric Paslay'],0.36,262053,4.368,0.333,0,1B17jo7XD3lJ9AtrdE9kUd,1.09E-06,7,0.114,-8.491,1,She Don't Love You,58,1/1/2014,0.029,74.53,0.17,2014
2.53E-02,['Yung Pinch'],0.794,226154,3.769,0.524,1,5nZ8MXHhFWzf7dDTuLG1ls,6.13E-03,4,0.11,-7.625,1,Look Like,56,10/10/2016,0.115,130.122,0.604,2016
2.43E-03,['5 Seconds of Summer'],0.548,205915,3.432,0.938,0,691NxyycrqSWH5vZ19Jzm2,0.00E+00,8,0.353,-4.073,1,Permanent Vacation,55,10/23/2015,0.053,155.038,0.744,2015
1.63E-01,['Alan Jackson'],0.705,228733,3.812,0.669,0,26iYJEimPCE0ozDlpj0UFN,3.41E-06,9,0.097,-5.974,1,Livin' On Love,62,11/19/2010,0.026,118.539,0.673,2010
3.93E-03,['Sabaton'],0.353,355653,5.928,0.742,0,0mK6UUHnQi0Jhu0IB319LO,0.00E+00,6,0.085,-7.389,0,Wolfpack,53,9/24/2010,0.039,79.033,0.166,2010
6.92E-01,['Mandolin Orange'],0.648,329893,5.498,0.352,0,6VfY0sgS4j4JpFQH8kk4XA,2.66E-01,4,0.106,-10.11,1,Wildfire,61,9/30/2016,0.028,121.459,0.173,2016
9.39E-01,['John Williams'],0.327,207520,3.459,0.104,0,0HyTGa3AIPNMKevxgUDA1V,9.12E-01,1,0.098,-19.801,1,Dobby the House Elf,42,11/11/2002,0.037,97.279,0.119,2002
2.55E-01,['Doja Cat'],0.805,237893,3.965,0.672,0,0FsKQ04gn6CHHOq2ISEm0H,1.02E-05,11,0.091,-4.614,0,Say So,65,11/7/2019,0.122,111.024,0.791,2019
2.95E-03,['Sugarcult'],0.477,141293,2.355,0.917,0,1rUHLQEmtefobuukC1SVDf,0.00E+00,6,0.268,-4.692,1,Bouncing Off The Walls,54,2002,0.055,150.974,0.71,2002
8.66E-01,"['Billy Preston', 'Syreeta Wright']",0.348,220600,3.677,0.313,0,7wlPnBfcywEctiVWwCdxvn,2.57E-04,10,0.13,-11.379,1,With You I'm Born Again,43,1/1/2000,0.032,82.004,0.356,2000
4.71E-02,['Queens of the Stone Age'],0.365,253493,4.225,0.874,0,1D6eNTsC5ixYBTzBxBx0gL,1.23E-04,8,0.351,-4.428,1,Tangled Up In Plaid,40,1/1/2005,0.09,128.249,0.606,2005
3.88E-01,['Alec Benjamin'],0.723,218893,3.648,0.504,0,4IhKLu7Vk3j2TLmnFPl6To,7.40E-05,8,0.087,-5.572,1,Water Fountain,79,11/16/2018,0.039,133.975,0.551,2018
7.27E-03,"[""Destiny's Child""]",0.814,242013,4.034,0.899,0,4dvQg9sD8k9y4qiEURuj8v,2.19E-01,1,0.098,-5.958,1,Lose My Breath,57,11/16/2004,0.064,119.011,0.545,2004
1.85E-02,['Wu-Tang Clan'],0.803,233640,3.894,0.868,1,2YfYTyShcbMFFWaZQXKb5V,0.00E+00,6,0.082,-3.903,1,Rules,45,12/18/2001,0.304,95.514,0.936,2001
1.46E-02,['Eminem'],0.878,309760,5.163,0.595,1,3xVtc7PB4V3AqAfq4Iahli,6.80E-05,11,0.328,-3.924,0,I'm Back,59,5/23/2000,0.203,89.995,0.851,2000
6.56E-02,['Third Day'],0.364,199760,3.329,0.654,0,0P5qOLfYWTL1tEzCkTCjbE,0.00E+00,2,0.201,-6.648,1,Show Me Your Glory,40,2001,0.036,158,0.241,2001
3.18E-02,"['6ix9ine', 'Nicki Minaj']",0.762,202667,3.378,0.423,0,4HreNRemFIo8zi38IGFl7U,5.16E-04,1,0.109,-8.649,1,TROLLZ (with Nicki Minaj),68,6/12/2020,0.281,180.068,0.43,2020
1.77E-01,['Regard'],0.88,157606,2.627,0.751,0,2tnVG71enUj33Ic2nFN6kZ,6.43E-05,7,0.106,-4.258,0,Ride It,90,7/26/2019,0.087,117.948,0.884,2019
4.62E-06,['Five Finger Death Punch'],0.513,209493,3.492,0.976,1,00cP5rqzL6ZrwMaqTEeGIN,3.40E-04,11,0.117,-3.117,1,Hard To See,53,9/22/2009,0.17,111.992,0.133,2009
5.62E-01,['Deitrick Haddon'],0.757,302000,5.033,0.405,0,1I3v23MpvlCQQ7ugP7jkQ0,4.43E-06,8,0.275,-6.15,1,Sinner's Prayer,41,2002,0.091,134.026,0.382,2002
4.45E-01,['Best Coast'],0.137,178080,2.968,0.821,0,7Cb9fYGYtFaANCaqYEOCDC,7.57E-01,7,0.309,-4.59,1,When I'm With You,49,6/26/2010,0.055,145.166,0.306,2010
2.10E-01,['The xx'],0.94,188120,3.135,0.208,0,4ORbUYpR6MDsJYTHh3xBWH,8.50E-02,9,0.105,-15.235,0,Basic Space,44,8/18/2009,0.085,115.872,0.148,2009
